week,bnb,bitcoin,cardano,ocean protocol,solana,fetch,uniswap,XRP,ethereum,filecoin,singularitynet,kucoin,oasis network,pancakeswap,chainlink,tezos,litecoin,polkadot,dogecoin,monero
2023-06-25,51,20,8,15,15,6,9,14,10,5,11,20,7,5,11,8,13,16,1,27
2023-07-02,52,19,8,25,17,6,9,13,10,6,11,18,7,5,11,9,16,15,1,23
2023-07-09,55,20,9,23,22,9,9,63,10,5,17,22,6,5,12,9,13,15,1,24
2023-07-16,54,19,8,13,18,8,10,52,10,5,14,18,6,4,19,9,12,17,1,25
2023-07-23,52,17,7,11,15,5,10,29,9,5,13,18,7,5,14,8,12,17,2,24
2023-07-30,52,17,7,12,15,5,10,24,8,5,11,16,8,5,11,8,17,17,1,24
2023-08-06,53,17,7,12,15,4,10,21,8,4,9,15,5,5,11,9,9,15,1,25
2023-08-13,49,19,7,15,15,5,10,22,9,5,9,14,7,5,11,8,10,14,1,24
2023-08-20,45,18,6,14,15,8,9,17,8,5,8,13,5,4,10,8,9,13,1,24
2023-08-27,43,19,7,10,14,8,8,16,8,4,9,13,6,4,12,8,9,13,1,25
2023-09-03,41,17,7,10,16,7,8,13,8,4,11,12,6,3,12,7,7,13,1,24
2023-09-10,41,16,6,12,15,3,6,14,7,4,9,11,5,4,11,6,8,13,1,22
2023-09-17,42,16,6,17,13,5,6,14,7,4,9,12,5,3,14,6,8,14,1,23
2023-09-24,42,15,6,10,12,5,7,15,7,3,7,12,6,3,17,7,7,12,1,22
2023-10-01,41,16,7,15,16,4,7,16,7,4,9,11,7,3,15,9,8,12,1,23
2023-10-08,39,15,6,14,13,0,6,13,7,4,5,13,7,3,11,7,7,12,1,21
2023-10-15,38,18,7,12,18,5,7,16,8,4,0,12,8,3,14,6,7,13,1,21
2023-10-22,40,26,8,20,24,11,8,21,11,5,15,16,7,3,28,8,9,16,1,24
2023-10-29,36,21,9,30,38,12,9,25,10,5,8,16,9,4,19,7,8,15,1,24
2023-11-05,38,23,13,31,40,10,10,38,13,6,13,19,9,5,35,8,9,18,1,27
2023-11-12,38,21,10,22,43,7,10,25,12,8,14,19,10,4,23,9,9,18,1,26
2023-11-19,40,20,9,25,32,18,11,19,11,5,12,20,9,4,18,7,8,15,1,28
2023-11-26,39,20,9,27,31,10,10,18,11,4,23,18,11,4,21,8,8,15,1,25
2023-12-03,37,30,20,27,45,16,13,24,17,8,20,27,8,5,25,9,11,22,3,28
2023-12-10,37,24,19,20,47,17,13,20,13,7,16,26,9,5,20,8,9,20,2,25
2023-12-17,38,24,15,22,72,12,13,18,12,7,14,27,12,6,17,8,10,21,1,27
2023-12-24,51,22,15,25,96,18,13,20,13,9,22,25,18,7,20,10,10,27,1,26
2023-12-31,51,29,13,28,56,12,12,20,13,13,17,26,15,6,18,7,10,21,1,29
2024-01-07,48,41,14,17,48,11,11,21,20,9,17,25,11,5,17,8,11,22,2,31
2024-01-14,50,25,9,17,44,8,12,15,14,6,17,21,7,5,18,8,9,19,1,30
2024-01-21,51,23,9,17,41,10,11,14,11,6,15,18,9,5,18,6,8,17,1,28
2024-01-28,53,19,9,17,47,10,11,13,10,6,11,21,9,5,21,6,8,16,1,30
2024-02-04,55,20,9,16,45,12,12,13,11,6,18,19,16,4,26,8,8,16,1,63
2024-02-11,51,29,11,24,44,14,12,16,15,7,28,22,15,4,26,8,10,18,1,40
2024-02-18,56,22,11,52,36,49,19,14,16,19,61,28,12,6,21,8,9,19,1,37
2024-02-25,58,42,18,47,54,54,20,23,26,15,63,36,17,7,26,12,14,26,4,40
2024-03-03,62,50,21,69,73,100,30,25,30,20,68,46,18,10,28,14,18,34,6,42
2024-03-10,63,50,18,55,94,50,23,29,29,14,52,43,16,12,26,10,17,32,4,39
2024-03-17,58,38,13,46,100,45,20,20,22,12,37,35,8,8,21,8,12,26,3,35
2024-03-24,55,32,11,100,74,68,24,18,17,12,59,61,12,9,20,8,15,24,5,37
2024-03-31,55,30,10,46,71,38,23,16,14,8,30,32,9,7,17,7,15,20,3,34
2024-04-07,58,30,11,35,66,29,25,16,15,8,20,26,8,6,17,8,12,20,3,31
