Timestamp, TransactionVolumeUSD, TransactionCount
2022-06-12,4153001175.3429794,739994750.0
2022-06-19,7547079607.551735,741515823.5
2022-06-26,2889878414.0912285,743512514.0
2022-07-03,3732082484.8210077,745475947.0
2022-07-10,2092265796.6309652,746956618.0
2022-07-17,1888025724.0315077,748433745.5
2022-07-24,3827480618.326948,750425396.5
2022-07-31,2480658392.4735928,752434095.5
2022-08-07,1848761811.273985,753971678.0
2022-08-14,2506056449.771051,755486307.0
2022-08-21,1877983194.461313,757523137.0
2022-08-28,1592036803.171842,759511891.0
2022-09-04,2965145213.080242,760992653.0
2022-09-11,1877693631.3490562,762501568.0
2022-09-18,1858257900.799841,764581605.5
2022-09-25,2581832466.371334,766607512.0
2022-10-02,2257808889.2799554,768121601.0
2022-10-09,1840242366.1383235,769680014.5
2022-10-16,2254791577.547611,771750353.5
2022-10-23,1565988775.922005,773786201.5
2022-10-30,3105405915.933216,775339438.0
2022-11-06,3772197110.650757,776922080.5
2022-11-13,3599929491.5072,779088717.5
2022-11-20,2426557528.993755,781195451.5
2022-11-27,2404291115.015128,782751591.0
2022-12-04,1684074503.7357476,784264123.0
2022-12-11,1205206222.6844804,786357497.5
2022-12-18,2646273891.265668,788433180.0
2022-12-25,1452067715.7233617,789982145.0
2023-01-01,1693923542.9338639,791446651.5
2023-01-08,1723780236.53225,793450160.5
2023-01-15,1706209424.2990406,795683346.0
2023-01-22,2434555740.5751624,797461667.0
2023-01-29,2274883591.169498,799191295.0
2023-02-05,1937719274.336896,801583312.0
2023-02-12,1819752046.6738591,804036647.0
2023-02-19,2628378056.4448442,805855534.0
2023-02-26,1627163948.0619643,807606020.0
2023-03-05,2344247175.96715,809995479.5
2023-03-12,3259971548.228249,812605061.5
2023-03-19,3640398486.9018416,814516177.0
2023-03-26,2818232078.8808846,816346938.0
2023-04-02,3308654761.7654114,818761011.0
2023-04-09,1988130894.1572475,821506771.5
2023-04-16,3628238563.3926272,823485760.0
2023-04-23,2998835495.6977386,825255034.0
2023-04-30,1935831903.6323912,828223118.0
2023-05-07,1911570250.391911,832267823.5
2023-05-14,2725354017.3388305,835719335.0
2023-05-21,2022393627.9352465,839059235.0
2023-05-28,2069872599.2730925,843019780.0
2023-06-04,2911440343.516732,846829980.0
2023-06-11,2610202097.1090503,849267903.0
2023-06-18,2731640413.1524477,851594375.0
2023-06-25,4096756885.6901226,854992894.0
2023-07-02,3549409641.5111794,858134421.0
2023-07-09,2390330315.2517643,860413870.0
2023-07-16,2471802255.2075768,863426702.0
2023-07-23,3563040665.1174555,867147173.5
2023-07-30,2624430690.6982656,870751253.0
2023-08-06,2455167663.730686,873515235.0
2023-08-13,2916202254.997815,876229202.5
2023-08-20,2968877383.470798,880154402.5
2023-08-27,2589550869.543368,884165249.5
2023-09-03,3672741751.325779,886688161.0
2023-09-10,1584038287.6412709,889741061.0
2023-09-17,1652067388.532527,893927277.0
2023-09-24,2311967783.8415804,898415602.0
2023-10-01,2485948110.759206,900817492.0
2023-10-08,2668605564.301546,902752488.0
2023-10-15,3121765310.4593143,905000238.0
2023-10-22,2774444532.0304604,907219666.5
2023-10-29,4140503829.4179335,909185230.0
2023-11-05,4323180399.005161,911925336.0
2023-11-12,3836768356.391398,916138065.0
2023-11-19,3023655228.5515003,920664366.0
2023-11-26,3881181165.400111,924252457.0
2023-12-03,4966219535.396363,927508298.0
2023-12-10,5136397264.7225485,931446064.0
2023-12-17,3674150222.2459116,935737306.5
2023-12-24,5528566078.985393,939454845.0
2023-12-31,4494073493.124597,943026910.5
2024-01-07,4661675723.442066,947442735.5
2024-01-14,10659475361.230953,950874401.0
2024-01-21,5492103686.986511,953724623.0
2024-01-28,5967062454.23056,956601475.5
2024-02-04,8056028292.447469,960578812.5
2024-02-11,5594668418.27995,963618182.0
2024-02-18,8810523177.34108,965690056.0
2024-02-25,7989310723.100023,967727746.0
2024-03-03,9036763470.841248,970815349.5
2024-03-10,12151772498.357742,973941227.0
2024-03-17,15282716078.186409,976237246.0
2024-03-24,8860849124.053843,978382040.5
2024-03-31,8867566254.560762,981257735.0
2024-04-07,10187400643.603584,984265043.0
2024-04-14,8327878326.23997,986969366.0
2024-04-21,5205629947.394749,989755630.0
2024-04-28,7409976119.254507,994223743.0
